,_id,Family Size,Employed
0,6133a5f70fd095857526fa76,5,5
1,6133a5f80fd095857526fa77,3,2
2,6133a5f80fd095857526fa78,2,1
3,6133a5f80fd095857526fa79,4,0
4,6133a5f80fd095857526fa7a,1,1
5,6133a5f80fd095857526fa7b,3,2
6,6133a5f80fd095857526fa7c,4,4
7,6133a5f80fd095857526fa7d,4,2
8,6133a5f80fd095857526fa7e,3,3
9,6133a5f90fd095857526fa7f,5,2
10,6133a5f90fd095857526fa80,3,2
11,6133a5f90fd095857526fa81,3,2
12,6133a5f90fd095857526fa82,1,0
13,6133a5f90fd095857526fa83,1,0
14,6133a5f90fd095857526fa84,1,0
15,6133a5f90fd095857526fa85,4,2
16,6133a5f90fd095857526fa86,4,2
17,6133a5f90fd095857526fa87,4,2
18,6133a5f90fd095857526fa88,4,2
19,6133a5fa0fd095857526fa89,2,2
20,6133a5fa0fd095857526fa8a,2,1
21,6133a5fa0fd095857526fa8b,4,3
22,6133a5fa0fd095857526fa8c,4,4
23,6133a5fa0fd095857526fa8d,4,3
24,6133a5fa0fd095857526fa8e,4,3
25,6133a5fa0fd095857526fa8f,5,2
26,6133a5fa0fd095857526fa90,6,5
27,6133a5fa0fd095857526fa91,6,5
28,6133a5fa0fd095857526fa92,5,2
29,6133a5fb0fd095857526fa93,2,1
30,6133a5fb0fd095857526fa94,2,1
31,6133a5fb0fd095857526fa95,4,2
32,6133a5fb0fd095857526fa96,4,2
33,6133a5fb0fd095857526fa97,4,2
34,6133a5fb0fd095857526fa98,5,3
35,6133a5fb0fd095857526fa99,1,1
36,6133a5fb0fd095857526fa9a,4,3
37,6133a5fb0fd095857526fa9b,2,1
38,6133a5fb0fd095857526fa9c,2,2
39,6133a5fc0fd095857526fa9d,2,2
40,6133a5fc0fd095857526fa9e,3,2
41,6133a5fc0fd095857526fa9f,3,3
42,6133a5fc0fd095857526faa0,3,1
43,6133a5fc0fd095857526faa1,4,2
44,6133a5fc0fd095857526faa2,4,3
45,6133a5fc0fd095857526faa3,4,3
46,6133a5fc0fd095857526faa4,3,3
47,6133a5fc0fd095857526faa5,3,2
48,6133a5fc0fd095857526faa6,3,2
49,6133a5fc0fd095857526faa7,4,4
50,6133a5fd0fd095857526faa8,4,2
51,6133a5fd0fd095857526faa9,4,1
52,6133a5fd0fd095857526faaa,4,3
53,6133a5fd0fd095857526faab,2,2
54,6133a5fd0fd095857526faac,4,4
55,6133a5fd0fd095857526faad,2,2
56,6133a5fd0fd095857526faae,3,2
57,6133a5fd0fd095857526faaf,3,2
58,6133a5fd0fd095857526fab0,2,2
59,6133a5fd0fd095857526fab1,4,2
60,6133a5fe0fd095857526fab2,3,2
61,6133a5fe0fd095857526fab3,4,2
62,6133a5fe0fd095857526fab4,4,4
63,6133a5fe0fd095857526fab5,6,4
64,6133a5fe0fd095857526fab6,2,2
65,6133a5fe0fd095857526fab7,2,1
66,6133a5fe0fd095857526fab8,3,3
67,6133a5fe0fd095857526fab9,5,4
68,6133a5fe0fd095857526faba,4,3
69,6133a5fe0fd095857526fabb,5,4
70,6133a5ff0fd095857526fabc,6,4
71,6133a5ff0fd095857526fabd,2,2
72,6133a5ff0fd095857526fabe,2,2
73,6133a5ff0fd095857526fabf,1,1
74,6133a5ff0fd095857526fac0,1,1
75,6133a5ff0fd095857526fac1,5,2
76,6133a5ff0fd095857526fac2,3,1
77,6133a5ff0fd095857526fac3,4,2
78,6133a5ff0fd095857526fac4,2,2
79,6133a5ff0fd095857526fac5,2,1
80,6133a5ff0fd095857526fac6,2,1
81,6133a6000fd095857526fac7,3,2
82,6133a6000fd095857526fac8,1,1
83,6133a6000fd095857526fac9,3,3
84,6133a6000fd095857526faca,4,3
85,6133a6000fd095857526facb,1,1
86,6133a6000fd095857526facc,4,3
87,6133a6000fd095857526facd,4,3
88,6133a6000fd095857526face,4,4
89,6133a6000fd095857526facf,4,2
90,6133a6000fd095857526fad0,1,1
91,6133a6000fd095857526fad1,4,2
92,6133a6010fd095857526fad2,3,3
93,6133a6010fd095857526fad3,4,2
94,6133a6010fd095857526fad4,5,3
95,6133a6010fd095857526fad5,3,2
96,6133a6010fd095857526fad6,4,4
97,6133a6010fd095857526fad7,3,1
98,6133a6010fd095857526fad8,5,2
99,6133a6010fd095857526fad9,5,5
100,6133a6010fd095857526fada,5,4
101,6133a6010fd095857526fadb,3,2
102,6133a6020fd095857526fadc,1,0
103,6133a6020fd095857526fadd,4,3
104,6133a6020fd095857526fade,6,4
105,6133a6020fd095857526fadf,4,2
106,6133a6020fd095857526fae0,4,2
107,6133a6020fd095857526fae1,4,3
108,6133a6020fd095857526fae2,7,6
109,6133a6020fd095857526fae3,3,1
110,6133a6020fd095857526fae4,4,3
111,6133a6020fd095857526fae5,5,5
112,6133a6030fd095857526fae6,3,2
113,6133a6030fd095857526fae7,3,1
114,6133a6030fd095857526fae8,4,2
115,6133a6030fd095857526fae9,2,2
116,6133a6030fd095857526faea,1,1
117,6133a6030fd095857526faeb,3,2
118,6133a6030fd095857526faec,3,3
119,6133a6030fd095857526faed,3,3
120,6133a6030fd095857526faee,2,2
121,6133a6030fd095857526faef,5,3
122,6133a6030fd095857526faf0,4,3
123,6133a6040fd095857526faf1,3,3
124,6133a6040fd095857526faf2,2,2
125,6133a6040fd095857526faf3,4,3
126,6133a6040fd095857526faf4,4,2
127,6133a6040fd095857526faf5,3,3
128,6133a6040fd095857526faf6,2,2
129,6133a6040fd095857526faf7,4,3
130,6133a6040fd095857526faf8,5,4
131,6133a6040fd095857526faf9,4,2
132,6133a6040fd095857526fafa,2,2
133,6133a6040fd095857526fafb,4,3
134,6133a6050fd095857526fafc,4,3
135,6133a6050fd095857526fafd,5,2
136,6133a6050fd095857526fafe,4,3
137,6133a6050fd095857526faff,2,1
138,6133a6050fd095857526fb00,4,4
139,6133a6050fd095857526fb01,3,1
140,6133a6050fd095857526fb02,4,1
141,6133a6050fd095857526fb03,4,2
142,6133a6050fd095857526fb04,5,2
143,6133a6050fd095857526fb05,5,5
144,6133a6060fd095857526fb06,5,2
145,6133a6060fd095857526fb07,3,1
146,6133a6060fd095857526fb08,2,0
147,6133a6060fd095857526fb09,2,2
148,6133a6060fd095857526fb0a,2,0
149,6133a6060fd095857526fb0b,2,1
150,6133a6060fd095857526fb0c,3,3
151,6133a6060fd095857526fb0d,4,3
152,6133a6060fd095857526fb0e,4,4
153,6133a6060fd095857526fb0f,4,2
154,6133a6070fd095857526fb10,2,1
155,6133a6070fd095857526fb11,5,2
156,6133a6070fd095857526fb12,4,2
157,6133a6070fd095857526fb13,2,2
158,6133a6070fd095857526fb14,4,2
159,6133a6070fd095857526fb15,2,1
160,6133a6070fd095857526fb16,4,2
161,6133a6070fd095857526fb17,2,2
162,6133a6070fd095857526fb18,6,3
163,6133a6070fd095857526fb19,2,2
164,6133a6080fd095857526fb1a,2,2
165,6133a6080fd095857526fb1b,2,2
166,6133a6080fd095857526fb1c,1,1
167,6133a6080fd095857526fb1d,2,2
168,6133a6080fd095857526fb1e,2,2
169,6133a6080fd095857526fb1f,2,2
170,6133a6080fd095857526fb20,2,1
171,6133a6080fd095857526fb21,2,1
172,6133a6080fd095857526fb22,4,0
173,6133a6080fd095857526fb23,1,1
174,6133a6080fd095857526fb24,2,2
175,6133a6090fd095857526fb25,2,2
176,6133a6090fd095857526fb26,1,1
177,6133a6090fd095857526fb27,1,1
178,6133a6090fd095857526fb28,2,1
179,6133a6090fd095857526fb29,2,2
180,6133a6090fd095857526fb2a,2,1
181,6133a6090fd095857526fb2b,2,2
182,6133a6090fd095857526fb2c,4,1
183,6133a6090fd095857526fb2d,2,1
184,6133a6090fd095857526fb2e,2,2
185,6133a60a0fd095857526fb2f,2,2
186,6133a60a0fd095857526fb30,1,1
187,6133a60a0fd095857526fb31,2,2
188,6133a60a0fd095857526fb32,4,3
189,6133a60a0fd095857526fb33,4,1
